"Private_School_Name","State_Name_Latest","State_Name_2019_20","STATE_not_geo_file","STATE","Private_School_Name_2019_20","PPIN","Total_Students_Private_2019_20","Black_Students_Private_2019_20","Hispanic_Students_Private_2019_20","Native_Students_Private_2019_20","Hawaiian_Students_Private_2019_20","Asian_Students_Private_2019_20","White_Students_Private_2019_20","prop_black","prop_hispanic","prop_native","prop_hawaiian","prop_asian","prop_white","FTE_Teachers_Private_2019_20","LOCALE","urbanicity_geo_data","LAT","LON","urbanicity"
"CAMELLIA BAPTIST WEM","ALABAMA","ALABAMA","AL","AL","CAMELLIA BAPTIST WEM","A0100060",114,2,0,0,0,0,3,33.33,0,0,0,0,50,1,"21","suburban",32.46935,-86.458475,"suburban"
"FIRST PRESBYTERIAN KINDERGARTEN","ALABAMA","ALABAMA","AL","AL","FIRST PRESBYTERIAN KINDERGARTEN","A0900032",64,0,0,0,0,0,11,0,0,0,0,0,91.67,1.1,"21","suburban",32.4608,-86.472061,"suburban"
"FIRST BAPTIST PRESCHOOL AND KINDERGARTEN","ALABAMA","ALABAMA","AL","AL","FIRST BAPTIST PRESCHOOL AND KINDERGARTEN","K9300030",126,0,1,0,0,2,20,0,4.35,0,0,8.7,86.96,3,"21","suburban",32.46171,-86.470441,"suburban"
"ST BENEDICT CATHOLIC SCHOOL","ALABAMA","ALABAMA","AL","AL","ST BENEDICT CATHOLIC SCHOOL","00000634",128,2,10,0,0,2,95,1.83,9.17,0,0,1.83,87.16,13.3,"31","town",30.4112,-87.600521,"town"
NA,NA,NA,NA,"AL",NA,"00001682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",30.546135,-87.727016,"rural"
"MARIETTA JOHNSON SCHOOL OF ORGANIC EDUCATION","ALABAMA","ALABAMA","AL","AL","MARIETTA JOHNSON SCHOOL OF ORGANIC EDUCATION","00002176",8,0,0,0,0,0,3,0,0,0,0,0,100,1.6,"13","city",30.51002,-87.900941,"city"
"ST PATRICK CATHOLIC SCHOOL","ALABAMA","ALABAMA","AL","AL","ST PATRICK CATHOLIC SCHOOL","01604001",172,0,18,2,0,1,118,0,12.59,1.4,0,0.7,82.52,10.5,"31","town",30.562348,-87.715735,"town"
NA,NA,NA,NA,"AL",NA,"A0500005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","city",30.60226,-87.911151,"city"
NA,NA,NA,NA,"AL",NA,"A1170018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","town",30.32514,-87.681807,"town"
"BAYSHORE CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","BAYSHORE CHRISTIAN SCHOOL","A1900005",440,4,0,3,0,12,401,0.95,0,0.71,0,2.84,95.02,40.1,"13","city",30.560348,-87.892666,"city"
"RENAISSANCE SCHOOL OF THE EASTERN SHORE","ALABAMA","ALABAMA","AL","AL","RENAISSANCE SCHOOL OF THE EASTERN SHORE","A1990009",75,4,0,0,0,3,64,5.33,0,0,0,4,85.33,10,"23","suburban",30.603386,-87.842979,"suburban"
NA,NA,NA,NA,"AL",NA,"A2100110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",30.457134,-87.70086,"rural"
NA,NA,NA,NA,"AL",NA,"A2192006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","town",30.391597,-87.690648,"town"
NA,NA,NA,NA,"AL",NA,"00002096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",31.918584,-85.130796,"rural"
"PARKVIEW CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","PARKVIEW CHRISTIAN SCHOOL","A0900062",56,5,2,0,0,1,38,10.42,4.17,0,0,2.08,79.17,9.6,"32","town",31.885018,-85.146377,"town"
NA,NA,NA,NA,"AL",NA,"00001536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","rural",32.977014,-87.120598,"rural"
NA,NA,NA,NA,"AL",NA,"A0100302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","rural",34.084569,-86.429522,"rural"
"CONECUH SPRINGS CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","CONECUH SPRINGS CHRISTIAN SCHOOL","A0500013",113,15,32,0,0,1,35,17.65,37.65,0,0,1.18,41.18,8.6,"43","rural",32.142722,-85.698755,"rural"
NA,NA,NA,NA,"AL",NA,"00001897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","town",31.836133,-86.641349,"town"
"THE DONOHO SCHOOL","ALABAMA","ALABAMA","AL","AL","THE DONOHO SCHOOL","00001332",341,21,7,0,0,25,265,6.6,2.2,0,0,7.86,83.33,28.3,"13","city",33.65449,-85.793311,"city"
"TRINITY CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","TRINITY CHRISTIAN ACADEMY","00002507",171,8,1,0,0,0,92,7.92,0.99,0,0,0,91.09,12.5,"13","city",33.58949,-85.872751,"city"
"IQRA MATH AND SCIENCE ACADEMY","ALABAMA","ALABAMA","AL","AL","IQRA MATH AND SCIENCE ACADEMY","A1700019",79,1,0,10,0,44,24,1.27,0,12.66,0,55.7,30.38,16.3,"13","city",33.668771,-85.81299,"city"
"SHARP DEAN SCHOOL OF CONTINUING STUDIES INC","ALABAMA","ALABAMA","AL","AL","SHARP DEAN SCHOOL OF CONTINUING STUDIES INC","A1700035",25,20,2,0,0,0,1,80,8,0,0,0,4,6.8,"13","city",33.66954,-85.830191,"city"
"FAITH CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","FAITH CHRISTIAN SCHOOL","A9100130",263,19,19,0,0,10,199,7.54,7.54,0,0,3.97,78.97,39.1,"13","city",33.64239,-85.772281,"city"
"CHAMBERS ACADEMY","ALABAMA","ALABAMA","AL","AL","CHAMBERS ACADEMY","00001693",251,9,3,0,0,1,203,4.17,1.39,0,0,0.46,93.98,18.3,"42","rural",32.873102,-85.406545,"rural"
"SPRINGWOOD SCHOOL","ALABAMA","ALABAMA","AL","AL","SPRINGWOOD SCHOOL","00002405",287,23,1,0,0,22,218,8.46,0.37,0,0,8.09,80.15,22,"41","rural",32.876556,-85.208828,"rural"
NA,NA,NA,NA,"AL",NA,"A0500002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",32.81804,-85.193511,"rural"
"CHILTON CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","CHILTON CHRISTIAN ACADEMY","AA000278",279,6,3,0,0,3,220,2.49,1.24,0,0,1.24,91.29,15,"42","rural",32.93981,-86.734231,"rural"
"PATRICIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","PATRICIAN ACADEMY","01925896",308,25,0,0,0,0,258,8.77,0,0,0,0,90.53,19.6,"43","rural",32.082322,-88.225074,"rural"
"SOUTH CHOCTAW ACADEMY","ALABAMA","ALABAMA","AL","AL","SOUTH CHOCTAW ACADEMY","01926186",237,3,2,0,0,0,213,1.38,0.92,0,0,0,97.71,21,"43","rural",31.912315,-88.317994,"rural"
"CLARKE PREP SCHOOL","ALABAMA","ALABAMA","AL","AL","CLARKE PREP SCHOOL","A0100108",435,0,3,0,0,4,426,0,0.69,0,0,0.92,98.38,44.1,"43","rural",31.734873,-87.762693,"rural"
"THE JACKSON ACADEMY","ALABAMA","ALABAMA","AL","AL","THE JACKSON ACADEMY","A0770089",220,2,0,1,0,0,167,1.18,0,0.59,0,0,98.24,15.6,"43","rural",31.537773,-87.907948,"rural"
NA,NA,NA,NA,"AL",NA,"A2300030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","rural",31.565037,-87.867547,"rural"
"CLAY COUNTY CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","CLAY COUNTY CHRISTIAN ACADEMY","A0500025",143,2,1,1,0,0,134,1.45,0.72,0.72,0,0,97.1,14,"42","rural",33.245739,-85.810802,"rural"
"FIRST ASSEMBLY CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","FIRST ASSEMBLY CHRISTIAN SCHOOL","A9900026",173,4,1,0,0,1,76,4.82,1.2,0,0,1.2,91.57,12,"42","rural",33.284044,-85.793819,"rural"
"PATHWAY INC","ALABAMA","ALABAMA","AL","AL","PATHWAY INC","A9700032",102,44,3,0,0,0,51,43.14,2.94,0,0,0,50,7,"42","rural",31.424405,-85.902257,"rural"
"WIREGRASS CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","WIREGRASS CHRISTIAN ACADEMY","A9700047",145,7,1,0,0,6,76,7,1,0,0,6,76,10,"32","town",31.312695,-85.855818,"town"
"COVENANT CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","COVENANT CHRISTIAN SCHOOL","A1900011",255,1,1,0,2,0,222,0.43,0.43,0,0.87,0,96.1,16.1,"13","city",34.72205,-87.676281,"city"
NA,NA,NA,NA,"AL",NA,"00002391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","rural",31.446095,-86.94698,"rural"
NA,NA,NA,NA,"AL",NA,"A0300019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","rural",31.693858,-86.269249,"rural"
"NEW COVENANT CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","NEW COVENANT CHRISTIAN ACADEMY","A1970224",89,5,0,0,0,0,14,26.32,0,0,0,0,73.68,2,"43","rural",31.579478,-86.251529,"rural"
"SACRED HEART ELEMENTARY","ALABAMA","ALABAMA","AL","AL","SACRED HEART ELEMENTARY","00000135",156,0,22,0,0,7,95,0,16.54,0,0,5.26,71.43,9.6,"32","town",34.177923,-86.841558,"town"
"ST PAULS LUTHERAN SCHOOL","ALABAMA","ALABAMA","AL","AL","ST PAULS LUTHERAN SCHOOL","00001208",107,1,1,0,0,1,69,1.37,1.37,0,0,1.37,94.52,10.5,"32","town",34.17412,-86.837661,"town"
"VINEMONT CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","VINEMONT CHRISTIAN ACADEMY","01608833",68,0,7,0,0,0,39,0,13.73,0,0,0,76.47,2.8,"41","rural",34.270608,-86.885474,"rural"
"ST BERNARD PREPARATORY SCHOOL","ALABAMA","ALABAMA","AL","AL","ST BERNARD PREPARATORY SCHOOL","02113067",175,0,42,0,0,18,107,0,24,0,0,10.29,61.14,29.1,"41","rural",34.17361,-86.816231,"rural"
NA,NA,NA,NA,"AL",NA,"A1592002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","town",32.42481,-87.048091,"town"
"CORNERSTONE CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","CORNERSTONE CHRISTIAN ACADEMY","A0770032",495,0,5,0,0,0,333,0,1.48,0,0,0,98.52,24.1,"42","rural",34.513706,-85.832363,"rural"
"BETH HAVEN CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","BETH HAVEN CHRISTIAN ACADEMY","A9900003",38,1,5,0,0,0,32,2.63,13.16,0,0,0,84.21,2,"42","rural",34.280813,-86.066576,"rural"
"EDGEWOOD ACADEMY","ALABAMA","ALABAMA","AL","AL","EDGEWOOD ACADEMY","00001864",212,7,0,0,0,1,194,3.45,0,0,0,0.49,95.57,16.6,"41","rural",32.547302,-86.292789,"rural"
"NEW LIFE CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","NEW LIFE CHRISTIAN ACADEMY","02000359",216,13,6,0,0,1,165,6.74,3.11,0,0,0.52,85.49,18.8,"21","suburban",32.520256,-86.365355,"suburban"
"PRATTVILLE CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","PRATTVILLE CHRISTIAN ACADEMY","A0100330",682,60,2,1,0,2,537,9.54,0.32,0.16,0,0.32,85.37,48.4,"41","rural",32.480306,-86.405188,"rural"
"ADULLAM HOUSE CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","ADULLAM HOUSE CHRISTIAN ACADEMY","A1500002",159,11,5,4,0,5,115,7.59,3.45,2.76,0,3.45,79.31,12,"42","rural",32.615773,-86.108894,"rural"
"ESCAMBIA ACADEMY","ALABAMA","ALABAMA","AL","AL","ESCAMBIA ACADEMY","00001015",215,10,1,39,6,2,155,4.65,0.47,18.14,2.79,0.93,72.09,26,"42","rural",31.030307,-87.407979,"rural"
NA,NA,NA,NA,"AL",NA,"01608888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",31.02109,-87.506381,"rural"
"TEMPLE CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","TEMPLE CHRISTIAN ACADEMY","A0300043",38,3,0,0,0,0,19,12.5,0,0,0,0,79.17,3,"32","town",31.00251,-87.490831,"town"
"ST JAMES CATHOLIC SCHOOL","ALABAMA","ALABAMA","AL","AL","ST JAMES CATHOLIC SCHOOL","00000033",135,21,53,0,2,1,35,18.1,45.69,0,1.72,0.86,30.17,12,"13","city",34.02381,-85.989151,"city"
"HOLY COMFORTER EPISCOPAL DAY SCHOOL","ALABAMA","ALABAMA","AL","AL","HOLY COMFORTER EPISCOPAL DAY SCHOOL","00001321",71,2,1,0,0,2,29,5.88,2.94,0,0,5.88,85.29,10.6,"13","city",34.014839,-86.013522,"city"
"COOSA CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","COOSA CHRISTIAN SCHOOL","02187186",252,22,3,0,0,7,160,11.22,1.53,0,0,3.57,81.63,17.4,"13","city",33.991982,-86.049232,"city"
"FBC GLENCOE WEEKDAY","ALABAMA","ALABAMA","AL","AL","FBC GLENCOE WEEKDAY","A1970056",116,0,0,0,0,0,16,0,0,0,0,0,100,2.4,"23","suburban",33.95677,-85.934041,"suburban"
NA,NA,NA,NA,"AL",NA,"A2300008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","rural",33.695225,-87.82871,"rural"
"SOUTHERN ACADEMY","ALABAMA","ALABAMA","AL","AL","SOUTHERN ACADEMY","00002358",313,0,0,0,0,0,280,0,0,0,0,0,100,20.1,"42","rural",32.699108,-87.584021,"rural"
"ABBEVILLE CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","ABBEVILLE CHRISTIAN ACADEMY","00001026",215,0,5,0,0,0,190,0,2.56,0,0,0,97.44,21.4,"42","rural",31.577041,-85.26086,"rural"
"HOUSTON ACADEMY","ALABAMA","ALABAMA","AL","AL","HOUSTON ACADEMY","00001503",703,33,13,2,0,36,566,5.02,1.98,0.3,0,5.47,86.02,54.5,"13","city",31.244414,-85.449049,"city"
"NORTHSIDE METHODIST CHURCH & ACADEMY","ALABAMA","ALABAMA","AL","AL","NORTHSIDE METHODIST CHURCH & ACADEMY","00002234",660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9,"13","city",31.26243,-85.432871,"city"
NA,NA,NA,NA,"AL",NA,"A0100037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","city",31.23283,-85.391851,"city"
"BETHEL CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","BETHEL CHRISTIAN ACADEMY","A1900007",97,1,0,0,0,1,72,1.35,0,0,0,1.35,97.3,14.3,"41","rural",31.17568,-85.359701,"rural"
"WESTGATE CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","WESTGATE CHRISTIAN SCHOOL","A9500037",136,14,0,0,0,1,43,22.58,0,0,0,1.61,69.35,10.3,"13","city",31.24052,-85.436591,"city"
"NEW DAY ACADEMY","ALABAMA","ALABAMA","AL","AL","NEW DAY ACADEMY","BB180035",58,33,2,0,0,0,22,56.9,3.45,0,0,0,37.93,4.1,"13","city",31.203808,-85.384626,"city"
"FLORAL CREST SCHOOL","ALABAMA","ALABAMA","AL","AL","FLORAL CREST SCHOOL","00003384",24,0,0,0,0,0,23,0,0,0,0,0,100,2.6,"42","rural",34.876612,-85.588134,"rural"
"MOUNTAIN VIEW CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","MOUNTAIN VIEW CHRISTIAN ACADEMY","02000494",127,2,0,3,0,2,84,2.2,0,3.3,0,2.2,92.31,14,"42","rural",34.902454,-85.63026,"rural"
NA,NA,NA,NA,"AL",NA,"00000088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.47581,-86.796311,"suburban"
"ST ROSE OF LIMA SCHOOL","ALABAMA","ALABAMA","AL","AL","ST ROSE OF LIMA SCHOOL","00000146",177,18,23,0,0,0,96,12.68,16.2,0,0,0,67.61,17.8,"12","city",33.49863,-86.787521,"city"
NA,NA,NA,NA,"AL",NA,"00000179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.5167,-86.741221,"city"
"JOHN CARROLL CATHOLIC HIGH SCHOOL","ALABAMA","ALABAMA","AL","AL","JOHN CARROLL CATHOLIC HIGH SCHOOL","00000226",471,105,46,0,0,12,299,22.29,9.77,0,0,2.55,63.48,40.4,"12","city",33.443934,-86.83279,"city"
"HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL","ALABAMA","ALABAMA","AL","AL","HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL","00000237",190,139,48,0,0,0,0,73.16,25.26,0,0,0,0,16.6,"12","city",33.487602,-86.829021,"city"
"JEFFERSON CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","JEFFERSON CHRISTIAN ACADEMY","00000882",245,75,0,0,1,2,142,34.09,0,0,0.45,0.91,64.55,20,"21","suburban",33.54938,-86.646301,"suburban"
"NE MILES JEWISH DAY SCHOOL","ALABAMA","ALABAMA","AL","AL","NE MILES JEWISH DAY SCHOOL","00001398",52,3,0,0,0,0,49,5.77,0,0,0,0,94.23,9.5,"12","city",33.511829,-86.753678,"city"
NA,NA,NA,NA,"AL",NA,"00001616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.513777,-86.758239,"city"
"DUNNAMS PRIVATE SCHOOL","ALABAMA","ALABAMA","AL","AL","DUNNAMS PRIVATE SCHOOL","00001853",37,16,7,0,0,0,14,43.24,18.92,0,0,0,37.84,2,"21","suburban",33.38009,-86.981301,"suburban"
NA,NA,NA,NA,"AL",NA,"00001933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.493674,-86.812551,"city"
"EPHESUS ACADEMY","ALABAMA","ALABAMA","AL","AL","EPHESUS ACADEMY","00003216",206,152,4,0,0,0,0,97.44,2.56,0,0,0,0,13.1,"12","city",33.49476,-86.844451,"city"
NA,NA,NA,NA,"AL",NA,"01925885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.603566,-86.688544,"city"
"CREATIVE MONTESSORI SCHOOL","ALABAMA","ALABAMA","AL","AL","CREATIVE MONTESSORI SCHOOL","02000574",248,11,4,0,0,14,88,8.94,3.25,0,0,11.38,71.54,14.6,"21","suburban",33.479762,-86.796995,"suburban"
"TABERNACLE CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","TABERNACLE CHRISTIAN SCHOOL","02000643",393,8,12,0,0,5,301,2.45,3.68,0,0,1.53,92.33,22.8,"21","suburban",33.69098,-86.818531,"suburban"
NA,NA,NA,NA,"AL",NA,"02000665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.447571,-86.980022,"suburban"
"CENTRAL PARK CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","CENTRAL PARK CHRISTIAN SCHOOL","02000676",126,124,0,0,0,0,0,98.41,0,0,0,0,0,13,"21","suburban",33.557154,-86.892543,"suburban"
"ARLINGTON SCHOOL","ALABAMA","ALABAMA","AL","AL","ARLINGTON SCHOOL","A0100027",12,0,0,0,0,1,11,0,0,0,0,8.33,91.67,3.3,"12","city",33.49888,-86.788561,"city"
NA,NA,NA,NA,"AL",NA,"A0100059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.616422,-86.699876,"city"
"CHILD ENRICHMENT CENTER","ALABAMA","ALABAMA","AL","AL","CHILD ENRICHMENT CENTER","A0100184",230,1,0,0,0,0,29,3.33,0,0,0,0,96.67,3,"21","suburban",33.648813,-86.807991,"suburban"
"DEEPER LIFE ACADEMY","ALABAMA","ALABAMA","AL","AL","DEEPER LIFE ACADEMY","A0100404",46,0,0,0,0,0,26,0,0,0,0,0,92.86,5,"21","suburban",33.42393,-86.986101,"suburban"
NA,NA,NA,NA,"AL",NA,"A0500029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.37162,-86.852321,"suburban"
NA,NA,NA,NA,"AL",NA,"A0500036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.631281,-86.726237,"city"
"SPRING VALLEY SCHOOL","ALABAMA","ALABAMA","AL","AL","SPRING VALLEY SCHOOL","A0509003",110,13,1,0,0,8,87,11.82,0.91,0,0,7.27,79.09,26.3,"12","city",33.433868,-86.872856,"city"
"NEW LIFE CHRISTIAN SCHOOL OF EXCELLENCE","ALABAMA","ALABAMA","AL","AL","NEW LIFE CHRISTIAN SCHOOL OF EXCELLENCE","A0700017",125,125,0,0,0,0,0,100,0,0,0,0,0,9,"21","suburban",33.40288,-86.960681,"suburban"
"GODS HOUSE KINDERGARTEN AND DAY CARE","ALABAMA","ALABAMA","AL","AL","GODS HOUSE KINDERGARTEN AND DAY CARE","A0770071",146,0,7,0,0,0,7,0,50,0,0,0,50,0.6,"21","suburban",33.426023,-86.737038,"suburban"
"ALLAN COTT SCHOOL","ALABAMA","ALABAMA","AL","AL","ALLAN COTT SCHOOL","A0900003",58,22,4,0,0,0,32,37.93,6.9,0,0,0,55.17,7,"41","rural",33.47819,-86.660371,"rural"
"HARVEST CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","HARVEST CHRISTIAN SCHOOL","A0900042",27,0,1,0,0,1,22,0,4.17,0,0,4.17,91.67,3.5,"41","rural",33.48799,-87.085611,"rural"
"FIRST BAPTIST CHURCH-PINSON","ALABAMA","ALABAMA","AL","AL","FIRST BAPTIST CHURCH-PINSON","A1170057",110,0,0,0,0,0,12,0,0,0,0,0,92.31,2,"21","suburban",33.69314,-86.689111,"suburban"
NA,NA,NA,NA,"AL",NA,"A1170147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",33.66596,-86.583881,"rural"
"BUILD UP","ALABAMA","ALABAMA","AL","AL","BUILD UP","A1900008",44,40,2,0,0,0,1,90.91,4.55,0,0,0,2.27,7.1,"12","city",33.509431,-86.899442,"city"
NA,NA,NA,NA,"AL",NA,"A1900042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.47856,-86.861771,"city"
"FIRST BAPTIST CHURCH TRUSSVILLE","ALABAMA","ALABAMA","AL","AL","FIRST BAPTIST CHURCH TRUSSVILLE","A1970061",314,0,0,0,0,0,24,0,0,0,0,0,100,2,"21","suburban",33.62258,-86.610381,"suburban"
"GREEN VALLEY BAPTIST CHURCH","ALABAMA","ALABAMA","AL","AL","GREEN VALLEY BAPTIST CHURCH","A1970078",220,1,0,0,0,0,15,6.25,0,0,0,0,93.75,2,"21","suburban",33.38772,-86.816641,"suburban"
NA,NA,NA,NA,"AL",NA,"A1970206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.58207,-86.710221,"city"
NA,NA,NA,NA,"AL",NA,"A1970208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.404716,-86.96941,"suburban"
"THE GROVE SCHOOL","ALABAMA","ALABAMA","AL","AL","THE GROVE SCHOOL","A1992166",15,3,0,0,0,1,10,20,0,0,0,6.67,66.67,2.6,"21","suburban",33.54522,-86.552311,"suburban"
NA,NA,NA,NA,"AL",NA,"A2100006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.598386,-86.691146,"city"
NA,NA,NA,NA,"AL",NA,"A2100058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.512904,-86.702769,"suburban"
NA,NA,NA,NA,"AL",NA,"A2100060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.510555,-86.882144,"city"
NA,NA,NA,NA,"AL",NA,"A2100101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.520596,-86.774679,"city"
NA,NA,NA,NA,"AL",NA,"A2100130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",33.739226,-86.64505,"rural"
NA,NA,NA,NA,"AL",NA,"A2190015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.456357,-86.889929,"city"
NA,NA,NA,NA,"AL",NA,"A2300010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.563988,-86.89113,"suburban"
NA,NA,NA,NA,"AL",NA,"A2370015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.487776,-86.829296,"city"
NA,NA,NA,NA,"AL",NA,"A2370029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.463836,-86.77238,"suburban"
NA,NA,NA,NA,"AL",NA,"A2370036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.520586,-86.774656,"city"
NA,NA,NA,NA,"AL",NA,"A2380006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",33.46998,-86.924519,"suburban"
NA,NA,NA,NA,"AL",NA,"A2390004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","city",33.515298,-86.813343,"city"
"CORNERSTONE SCHOOLS OF ALABAMA","ALABAMA","ALABAMA","AL","AL","CORNERSTONE SCHOOLS OF ALABAMA","A9500008",589,526,4,0,0,0,24,94.95,0.72,0,0,0,4.33,42,"12","city",33.540132,-86.753817,"city"
"ALABAMA WALDORF SCHOOL","ALABAMA","ALABAMA","AL","AL","ALABAMA WALDORF SCHOOL","A9703769",128,5,2,0,1,0,56,6.58,2.63,0,1.32,0,73.68,4,"12","city",33.530397,-86.739074,"city"
"INTEGRITY CHRISTIAN ACADEMY","ALABAMA","ALABAMA","AL","AL","INTEGRITY CHRISTIAN ACADEMY","A9900042",41,28,1,0,0,0,0,96.55,3.45,0,0,0,0,5,"12","city",33.599659,-86.709599,"city"
"ISLAMIC ACADEMY OF ALABAMA","ALABAMA","ALABAMA","AL","AL","ISLAMIC ACADEMY OF ALABAMA","A9900043",227,7,0,0,0,0,0,3.38,0,0,0,0,0,21.6,"21","suburban",33.48668,-86.791311,"suburban"
"MOUNTAIN VIEW BAPTIST SCHOOL","ALABAMA","ALABAMA","AL","AL","MOUNTAIN VIEW BAPTIST SCHOOL","A9900054",110,35,9,0,0,1,51,34.65,8.91,0,0,0.99,50.5,9,"21","suburban",33.65216,-86.635821,"suburban"
