"Private_School_Name","State_Name_Latest","State_Name_2019_20","STATE_not_geo_file","STATE","Private_School_Name_2019_20","PPIN","Total_Students_Private_2019_20","Black_Students_Private_2019_20","Hispanic_Students_Private_2019_20","Native_Students_Private_2019_20","Hawaiian_Students_Private_2019_20","Asian_Students_Private_2019_20","White_Students_Private_2019_20","prop_black","prop_hispanic","prop_native","prop_hawaiian","prop_asian","prop_white","FTE_Teachers_Private_2019_20","LOCALE","urbanicity_geo_data","LAT","LON","urbanicity"
NA,NA,NA,NA,"NY",NA,"A1992018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",41.462815,-74.040491,"suburban"
NA,NA,NA,NA,"NY",NA,"A2170945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","rural",41.601771,-74.298018,"rural"
NA,NA,NA,NA,"NY",NA,"A2301734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",41.457141,-74.340936,"rural"
NA,NA,NA,NA,"NY",NA,"A2301756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",41.208875,-74.215595,"rural"
NA,NA,NA,NA,"NY",NA,"A2301764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","city",41.338603,-74.162313,"city"
"NEW BEGINNINGS MONTESSORI","NEW YORK","NEW YORK","NY","NY","NEW BEGINNINGS MONTESSORI","AA001415",158,2,3,0,0,1,2,25,37.5,0,0,12.5,25,1,"23","suburban",41.450136,-74.409188,"suburban"
NA,NA,NA,NA,"NY",NA,"BB201321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","suburban",41.45933,-74.046741,"suburban"
"ST PAUL CHRISTIAN EDUCATION CENTER","NEW YORK","NEW YORK","NY","NY","ST PAUL CHRISTIAN EDUCATION CENTER","K9304005",144,1,4,0,1,5,6,5.56,22.22,0,5.56,27.78,33.33,1.5,"23","suburban",41.317948,-74.179161,"suburban"
"ORLEANS COUNTY CHRISTIAN SCHOOL","NEW YORK","NEW YORK","NY","NY","ORLEANS COUNTY CHRISTIAN SCHOOL","A9702447",25,0,4,0,0,0,21,0,16,0,0,0,84,3.4,"41","rural",43.155322,-78.3893,"rural"
"TRINITY CATHOLIC SCHOOL","NEW YORK","NEW YORK","NY","NY","TRINITY CATHOLIC SCHOOL","00932204",188,1,0,0,0,4,121,0.78,0,0,0,3.1,93.8,10.6,"32","town",43.45704,-76.502155,"town"
"THE SCHOOL AT SPRINGBROOK","NEW YORK","NEW YORK","NY","NY","THE SCHOOL AT SPRINGBROOK","00936774",95,14,9,0,0,1,70,14.74,9.47,0,0,1.05,73.68,18,"42","rural",42.532169,-74.981385,"rural"
"OTSEGO CHRISTIAN ACADEMY","NEW YORK","NEW YORK","NY","NY","Otsego Christian Academy","A9300651",90,5,2,0,0,1,66,6.76,2.7,0,0,1.35,89.19,11.9,"42","rural",42.397812,-75.173912,"rural"
"ST JAMES THE APOSTLE SCHOOL","NEW YORK","NEW YORK","NY","NY","ST JAMES THE APOSTLE SCHOOL","00922998",116,0,5,0,0,11,80,0,5.21,0,0,11.46,83.33,6.6,"21","suburban",41.423493,-73.67781,"suburban"
"HUDSON VALLEY CHRISTIAN ACADEMY","NEW YORK","NEW YORK","NY","NY","HUDSON VALLEY CHRISTIAN ACADEMY","02166698",31,5,5,0,0,2,11,19.23,19.23,0,0,7.69,42.31,6.6,"21","suburban",41.372574,-73.766417,"suburban"
"LONGVIEW SCHOOL","NEW YORK","NEW YORK","NY","NY","LONGVIEW SCHOOL","A1302083",24,1,1,0,0,1,20,4.17,4.17,0,0,4.17,83.33,9,"21","suburban",41.402589,-73.619063,"suburban"
NA,NA,NA,NA,"NY",NA,"A1502506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",41.454155,-73.550303,"rural"
"MANITOU SCHOOL","NEW YORK","NEW YORK","NY","NY","MANITOU SCHOOL","A1702619",132,0,12,0,0,3,82,0,11.65,0,0,2.91,79.61,15.3,"41","rural",41.419073,-73.942387,"rural"
"OUR LADY OF SORROWS CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","OUR LADY OF SORROWS CATHOLIC ACADEMY","00924871",265,2,238,0,0,0,0,0.83,99.17,0,0,0,0,14.5,"11","city",40.75422,-73.863295,"city"
"ST LEO CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST LEO CATHOLIC ACADEMY","00924882",312,10,211,0,0,4,6,4.2,88.66,0,0,1.68,2.52,12,"11","city",40.744902,-73.858304,"city"
"DIVINE WISDOM CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","DIVINE WISDOM CATHOLIC ACADEMY","00924893",433,83,76,0,3,52,145,23.12,21.17,0,0.84,14.48,40.39,26,"11","city",40.765172,-73.740358,"city"
NA,NA,NA,NA,"NY",NA,"00924951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.732711,-73.883353,"city"
"HOLY FAMILY CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","HOLY FAMILY CATHOLIC ACADEMY","00924984",199,26,62,0,1,38,43,15.29,36.47,0,0.59,22.35,25.29,11.9,"11","city",40.728586,-73.794578,"city"
"ST ANDREW AVELLINO CATHOLIC SCHOOL","NEW YORK","NEW YORK","NY","NY","ST ANDREW AVELLINO CATHOLIC SCHOOL","00925015",240,4,47,0,3,33,121,1.9,22.38,0,1.43,15.71,57.62,14.5,"11","city",40.764964,-73.807576,"city"
NA,NA,NA,NA,"NY",NA,"00925081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.714132,-73.85037,"city"
